Category,QuestionNumber,Question,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8
Csports,CsportsQ4,Name a piece of sports equipment,Ball,40,Gloves,30,Racket,20,Helmet,15,Stick,10,Cleats,8,Net,5,Pads,3
Csports,CsportsQ5,Name a position in football,Quarterback,40,Receiver,30,Linebacker,20,Running back,15,Defensive end,10,Cornerback,8,Kicker,5,Punter,3
Csports,CsportsQ6,Name a major sports event,Olympics,50,Super Bowl,30,FIFA World Cup,20,Wimbledon,15,Tour de France,10,Masters,8,World Series,5,UEFA Champions League,3
Csports,CsportsQ7,Name a sport that uses a net,Tennis,40,Volleyball,30,Badminton,20,Table Tennis,15,Netball,10,Pickleball,8,Squash,5,Beach Volleyball,3
Csports,CsportsQ8,Name a term used in baseball,Home run,40,Strikeout,30,Bunt,20,Walk,15,Triple,10,Double,8,Out,5,Steal,3
Csports,CsportsQ9,Name a type of race,Marathon,40,Sprint,30,Relay,20,Hurdles,15,Cross country,10,Triathlon,8,Drag race,5,Obstacle race,3
Csports,CsportsQ10,Name a famous sports stadium,Old Trafford,40,Wembley,30,Maracanã,20,Staples Center,15,Fenway Park,10,Anfield,8,Camp Nou,5,Melbourne Cricket Ground,3
Clifestyle,ClifestyleQ1,Name a common hobby,Reading,40,Gardening,30,Cooking,20,Traveling,15,Photography,10,Knitting,8,Yoga,5,Dancing,3
Clifestyle,ClifestyleQ2,Name a type of pet,Dog,40,Cat,30,Fish,20,Bird,15,Hamster,10,Rabbit,8,Turtle,5,Guinea pig,3
Clifestyle,ClifestyleQ3,Name a drink people enjoy,Coffee,40,Tea,30,Soda,20,Juice,15,Water,10,Smoothie,8,Beer,5,Wine,3
Clifestyle,ClifestyleQ4,Name a mode of transportation,Car,40,Bicycle,30,Bus,20,Train,15,Plane,10,Boat,8,Motorcycle,5,Scooter,3
Clifestyle,ClifestyleQ5,Name a type of exercise,Running,40,Swimming,30,Cycling,20,Yoga,15,Weightlifting,10,Pilates,8,Hiking,5,Dancing,3
Clifestyle,ClifestyleQ6,Name a room in a house,Kitchen,40,Living room,30,Bedroom,20,Bathroom,15,Office,10,Garage,8,Basement,5,Attic,3
Clifestyle,ClifestyleQ7,Name a piece of clothing,T-shirt,40,Jeans,30,Jacket,20,Dress,15,Shoes,10,Hat,8,Scarf,5,Gloves,3
Clifestyle,ClifestyleQ8,Name a type of music,Jazz,40,Rock,30,Pop,20,Classical,15,Hip-hop,10,Country,8,Blues,5,Electronic,3
Clifestyle,ClifestyleQ9,Name a way to relax,Reading,40,Watching TV,30,Meditation,20,Listening to music,15,Walking,10,Napping,8,Bathing,5,Crafting,3
Clifestyle,ClifestyleQ10,Name a healthy food,Fruit,40,Vegetables,30,Nuts,20,Whole grains,15,Lean meat,10,Legumes,8,Yogurt,5,Fish,3
Cinternet,CinternetQ1,Name a social media app,Facebook,40,Instagram,30,TikTok,20,Twitter,15,Snapchat,10,LinkedIn,8,Pinterest,5,Reddit,3
Cinternet,CinternetQ2,Name a common internet activity,Watching videos,40,Social networking,30,Shopping,20,Playing games,15,Reading news,10,Online banking,8,Chatting,5,Research,3
Cinternet,CinternetQ3,Name a popular search engine,Google,60,Bing,20,DuckDuckGo,10,Yahoo,5,Baidu,3,Yandex,1,AOL,1,Ask,0
Cinternet,CinternetQ4,Name a type of email spam,Phishing,40,Ads,30,Scams,20,Fake offers,15,Malware,10,Chain letters,8,Fake surveys,5,Pop-ups,3
Cinternet,CinternetQ5,Name a popular streaming service,Netflix,50,YouTube,30,Amazon Prime,20,Hulu,15,Disney+,10,Twitch,8,Spotify,5,Apple TV+,3
Cinternet,CinternetQ6,Name a common internet slang,LOL,40,BRB,30,OMG,20,TTYL,15,ROFL,10,AFK,8,IMO,5,IDK,3
Cinternet,CinternetQ7,Name a device to access internet,Smartphone,40,Computer,30,Tablet,20,Smart TV,15,Laptop,10,Gaming console,8,Router,5,Smartwatch,3
Cinternet,CinternetQ8,Name a popular online game,Fortnite,40,Minecraft,30,Among Us,20,Call of Duty,15,Roblox,10,League of Legends,8,World of Warcraft,5,Candy Crush,3
Cinternet,CinternetQ9,Name a security measure,Password,40,Two-factor auth,30,Firewall,20,Encryption,15,Antivirus,10,Backup,8,VPN,5,Secure Wi-Fi,3
Cinternet,CinternetQ10,Name a famous website,YouTube,50,Reddit,30,Wikipedia,20,Facebook,15,Twitter,10,Amazon,8,Instagram,5,Google,3
